algorithm,seed,instance,objective
RNRunner,1232,0,49687.01650243897
RNRunner,1232,1,121604.28117457448
RNRunner,1232,2,7024.116250373445
RNRunner,1232,3,43463.147332110464
RNRunner,1232,4,9171.306955236172
RNRunner,1232,5,60713.418836838355
RNRunner,1232,6,56132.81435530476
RNRunner,1232,7,69611.62321094397
RNRunner,1232,8,21476359.438883398
RNRunner,1233,0,49870.87543093509
RNRunner,1233,1,118170.23183385453
RNRunner,1233,2,7027.977630971505
RNRunner,1233,3,43448.15720243059
RNRunner,1233,4,9177.008578217181
RNRunner,1233,5,60679.95708654857
RNRunner,1233,6,59572.14826675305
RNRunner,1233,7,70868.91131181057
RNRunner,1233,8,21732629.665185023
RNRunner,1234,0,49924.581965820864
RNRunner,1234,1,127568.97145257937
RNRunner,1234,2,7040.568657662194
RNRunner,1234,3,43776.18705554768
RNRunner,1234,4,9183.52658090783
RNRunner,1234,5,60664.4692347362
RNRunner,1234,6,63735.07818820642
RNRunner,1234,7,78206.77315453168
RNRunner,1234,8,25350312.25326606
RNRunner,1235,0,49840.49263425254
RNRunner,1235,1,121226.7955751105
RNRunner,1235,2,7031.314555176247
RNRunner,1235,3,43528.175538871066
RNRunner,1235,4,9200.620911236994
RNRunner,1235,5,60718.66624247561
RNRunner,1235,6,59425.68815888117
RNRunner,1235,7,71204.84610527134
RNRunner,1235,8,21414413.165875327
RNRunner,1236,0,49633.18086212781
RNRunner,1236,1,132644.13812240394
RNRunner,1236,2,7024.175261625311
RNRunner,1236,3,43765.567622853276
RNRunner,1236,4,9174.555008507688
RNRunner,1236,5,60053.587831145276
RNRunner,1236,6,63173.577223428474
RNRunner,1236,7,78141.68252361978
RNRunner,1236,8,24879561.474244867
RNRunner,1237,0,49825.73403750874
RNRunner,1237,1,134146.1736093582
RNRunner,1237,2,7031.0877303210955
RNRunner,1237,3,43611.539108956655
RNRunner,1237,4,9211.134057263289
RNRunner,1237,5,60244.98130832866
RNRunner,1237,6,63345.11749295196
RNRunner,1237,7,78808.20224754745
RNRunner,1237,8,25255978.021655552
RNRunner,1238,0,49879.0712831026
RNRunner,1238,1,128696.81014086225
RNRunner,1238,2,7017.00638596039
RNRunner,1238,3,43560.03676407777
RNRunner,1238,4,9187.012183617146
RNRunner,1238,5,60836.19036075497
RNRunner,1238,6,61716.96335402133
RNRunner,1238,7,80111.1795887041
RNRunner,1238,8,23007322.672050197
RNRunner,1239,0,49507.00426465964
RNRunner,1239,1,116043.24569408705
RNRunner,1239,2,7012.568765541625
RNRunner,1239,3,43619.48963193846
RNRunner,1239,4,9158.739106471628
RNRunner,1239,5,60460.75010733241
RNRunner,1239,6,57707.104737358626
RNRunner,1239,7,70904.60733265073
RNRunner,1239,8,21185495.80228089
CCFRunner-multi,1232,0,48439.92133944202
CCFRunner-multi,1232,1,109435.79192138187
CCFRunner-multi,1232,2,7032.7739841415205
CCFRunner-multi,1232,3,42963.92000139179
CCFRunner-multi,1232,4,9060.389394675483
CCFRunner-multi,1232,5,59168.71912584341
CCFRunner-multi,1232,6,60724.63662188112
CCFRunner-multi,1232,7,70016.0281847241
CCFRunner-multi,1232,8,21541578.96484603
CCFRunner-multi,1233,0,48297.73211883853
CCFRunner-multi,1233,1,108256.03721770569
CCFRunner-multi,1233,2,6920.25132452876
CCFRunner-multi,1233,3,43018.43360677109
CCFRunner-multi,1233,4,9186.905677805695
CCFRunner-multi,1233,5,58804.73103918416
CCFRunner-multi,1233,6,60139.033038587055
CCFRunner-multi,1233,7,70061.31306337212
CCFRunner-multi,1233,8,22237681.17170484
CCFRunner-multi,1234,0,48588.69862211926
CCFRunner-multi,1234,1,110393.42554800372
CCFRunner-multi,1234,2,6944.67153593978
CCFRunner-multi,1234,3,42980.11343088903
CCFRunner-multi,1234,4,9110.01718339397
CCFRunner-multi,1234,5,58599.44686639124
CCFRunner-multi,1234,6,59780.323023629906
CCFRunner-multi,1234,7,69579.01827873026
CCFRunner-multi,1234,8,21785732.67510209
CCFRunner-multi,1235,0,48527.114158480676
CCFRunner-multi,1235,1,109180.07821772396
CCFRunner-multi,1235,2,6974.550110273743
CCFRunner-multi,1235,3,42843.97381793256
CCFRunner-multi,1235,4,9190.933562262846
CCFRunner-multi,1235,5,59907.25719563152
CCFRunner-multi,1235,6,59860.603317757166
CCFRunner-multi,1235,7,70372.84354517999
CCFRunner-multi,1235,8,21530937.17189251
CCFRunner-multi,1236,0,48315.48077725856
CCFRunner-multi,1236,1,111960.54702680589
CCFRunner-multi,1236,2,6972.46559851973
CCFRunner-multi,1236,3,43175.180800811824
CCFRunner-multi,1236,4,9063.8126827965
CCFRunner-multi,1236,5,59912.30381631639
CCFRunner-multi,1236,6,57517.97335063339
CCFRunner-multi,1236,7,68406.44844159698
CCFRunner-multi,1236,8,21333110.491933066
CCFRunner-multi,1237,0,48629.446035688896
CCFRunner-multi,1237,1,110090.82415682281
CCFRunner-multi,1237,2,6976.905599061273
CCFRunner-multi,1237,3,42731.799350143956
CCFRunner-multi,1237,4,9100.110399212617
CCFRunner-multi,1237,5,59116.422231105986
CCFRunner-multi,1237,6,62482.91274969663
CCFRunner-multi,1237,7,71123.3045695899
CCFRunner-multi,1237,8,21593188.39044306
CCFRunner-multi,1238,0,48382.91394909823
CCFRunner-multi,1238,1,109553.39402231552
CCFRunner-multi,1238,2,7013.132335442351
CCFRunner-multi,1238,3,42654.4565407564
CCFRunner-multi,1238,4,9112.480997655446
CCFRunner-multi,1238,5,58671.37802224448
CCFRunner-multi,1238,6,57033.66010845649
CCFRunner-multi,1238,7,74649.3985887708
CCFRunner-multi,1238,8,24913589.91579823
CCFRunner-multi,1239,0,48402.060272124225
CCFRunner-multi,1239,1,107995.80783194987
CCFRunner-multi,1239,2,7019.584457097813
CCFRunner-multi,1239,3,42849.830752386704
CCFRunner-multi,1239,4,9093.704097925935
CCFRunner-multi,1239,5,58736.513066526444
CCFRunner-multi,1239,6,63100.487147758635
CCFRunner-multi,1239,7,68816.12533010742
CCFRunner-multi,1239,8,24970870.987368304
